time,true_time,Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95
1624,5.446575,57.13429016,46.73001167,67.53856865,41.22231933,73.04626098
1625,5.449315,54.97862475,44.5729787,65.38427079,39.06456243,70.89268707
1626,5.452055,59.26408675,48.85707333,69.67110017,43.34793321,75.18024029
1627,5.454795,51.48384893,41.07546832,61.89222954,35.56560445,67.40209341
1628,5.457534,52.64523694,42.23548932,63.05498457,36.72490179,68.5655721
1629,5.460274,65.0565703,54.64545583,75.46768476,49.13414475,80.97899584
1630,5.463014,67.10300349,56.69052237,77.51548461,51.17848782,83.02751916
1631,5.465753,49.2407103,38.8268627,59.6545579,33.31410479,65.16731581
1632,5.468493,60.67355707,50.25834317,71.08877096,44.74486198,76.60225215
1633,5.471233,59.57433932,49.15775931,69.99091933,43.64355494,75.5051237
1634,5.473973,64.30369775,53.88575179,74.7216437,48.37082434,80.23657115
1635,5.476712,64.71128183,54.29197012,75.13059354,48.77631967,80.64624399
1636,5.479452,69.71566885,59.29499155,80.13634614,53.77861821,85.65271948
1637,5.482192,55.00641553,44.58437284,65.42845823,39.0672767,70.94555437
1638,5.484932,64.62484939,54.20144147,75.04825731,48.68362263,80.56607616
1639,5.487671,61.39374372,50.96897075,71.81851668,45.4504293,77.33705814
1640,5.490411,60.48232188,50.05618405,70.90845971,44.53692007,76.42772368
1641,5.493151,64.93819936,54.51069685,75.36570188,48.99071045,80.88568828
1642,5.49589,73.05308958,62.62422256,83.48195661,57.10351384,89.00266533
1643,5.49863,68.49139163,58.06116027,78.92162298,52.53972932,84.44305394
1644,5.50137,61.05735348,50.62575797,71.48894899,45.10360488,77.01110208
1645,5.50411,60.70035727,50.26739779,71.13331675,44.74452265,76.65619188
1646,5.506849,60.08392359,49.64960032,70.51824687,44.12600323,76.04184395
1647,5.509589,60.6469357,50.21124881,71.0826226,44.68692987,76.60694154
1648,5.512329,76.27836895,65.84131862,86.71541928,60.31627792,92.24045998
1649,5.515068,74.00909974,63.57068615,84.44751333,58.04492378,89.9732757
1650,5.517808,67.30178401,56.86200733,77.74156068,51.33552339,83.26804462
1651,5.520548,69.06839458,58.627255,79.50953416,53.10004958,85.03673958
1652,5.523288,65.63880083,55.19629852,76.08130314,49.66837172,81.60922994
1653,5.526027,54.63356247,44.18969762,65.07742732,38.66104952,70.60607542
1654,5.528767,68.37697348,57.93174625,78.8222007,52.40237696,84.35156999
1655,5.531507,67.60941422,57.1628248,78.05600364,51.63273441,83.58609403
1656,5.534247,68.64306414,58.19511271,79.09101558,52.66430131,84.62182698
1657,5.536986,71.41834319,60.96902992,81.86765646,55.4374976,87.39918878
1658,5.539726,59.84300086,49.39232593,70.2936758,43.8600728,75.82592893
1659,5.542466,67.29044935,56.83841293,77.74248577,51.30543908,83.27545963
1660,5.545205,71.51739142,61.06399369,81.97078914,55.5302992,87.50448363
1661,5.547945,75.95420673,65.49944788,86.40896558,59.96503285,91.94338061
