"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"4.980822",69.3553949523978,59.1862734406433,79.5245164641523,53.8030656873787,84.9077242174169
"4.983562",66.8427877912567,56.6722671055576,77.0133084769558,51.2883186743477,82.3972569081657
"4.986301",65.1114164639608,54.9394967967771,75.2833361311445,49.5548077895041,80.6680251384175
"4.989041",61.7021989376225,51.5288804813348,71.8755173939102,46.1434509998388,77.2609468754062
"4.991781",64.3420625108111,54.1673454577206,74.5167795639015,48.7811756037998,79.9029494178223
"4.994521",63.1495378489104,52.9734223912392,73.3256533065816,47.5865122666497,78.7125634311711
"4.997260",61.7249118823976,51.5473982122884,71.9024255525068,46.1597479187444,77.2900758460507
"5.000000",72.6381197130082,62.4592080225245,82.8170314034918,57.0708176616984,88.2054217643179
"5.002740",61.180346929902,51.0000374110283,71.3606564487757,45.6109070845505,76.7497867752535
"5.005479",66.7580293406648,56.5763221853064,76.9397364960231,51.1864519947655,82.3296066865641
"5.008219",58.0731730501746,47.890068450158,68.2562776501913,42.4994584971005,73.6468876032487
"5.010959",75.1593434300539,64.9748415771263,85.3438452829815,59.5834919630574,90.7351948970504
"5.013699",66.9496795324198,56.7637806182497,77.1355784465899,51.3716914446325,82.5276676202071
"5.016438",68.6011677849426,58.4138720011197,78.7884635687656,53.0210433693755,84.1812922005097
"5.019178",71.5074525228875,61.3187600609225,81.6961449848525,55.9251920724312,87.0897129733439
"5.021918",60.5031726879867,50.3130837393117,70.6932616366616,44.9187764954111,76.0875688805622
"5.024658",74.5689285735624,64.3774433295309,84.7604138175939,58.9823969315175,90.1554602156074
"5.027397",67.708245481572,57.5153641334587,77.9011268296854,52.1195786825871,83.296912280557
"5.030137",63.6859577579229,53.4916804969238,73.8802350189219,48.0951560944073,79.2767594214385
"5.032877",74.4520430979562,64.256370115189,84.6477160807233,58.8591068621991,90.0449793337133
"5.035616",69.1601417808961,58.9630732674001,79.3572102943922,53.5650712650667,84.7552122967256
"5.038356",75.9108047088003,65.7123408555361,86.1092685620646,60.3136002049477,91.5080092126529
"5.041096",68.1042878685026,57.9044288663525,78.3041468706528,52.5049496685563,83.703626068449
"5.043836",71.4930938440327,61.2918398838008,81.6943478042647,55.8916222398022,87.0945654482633
"5.046575",72.1373393813616,61.9346906537735,82.3399881089496,56.5337346645367,87.7409440981864
"5.049315",64.8426597672634,54.6386164629669,75.04670307156,49.2369222294146,80.4483973051123
"5.052055",75.4499834466537,65.2445457562181,85.6554211370894,59.8421133792316,91.0578535140758
"5.054795",65.613308375215,55.4064764891315,75.8201402612984,50.0033060695509,81.223310680879
"5.057534",64.7525509167038,54.5443250253858,74.9607768080218,49.1404166640098,80.3646851693979
"5.060274",63.6240512770093,53.4144315707921,73.8336709832266,48.0097853683779,79.2383171856408
"5.063014",61.0648914347911,50.8538781039318,71.2759047656504,45.4484941611958,76.6812887083864
"5.065753",81.7580154533683,71.5456086880465,91.9704222186902,66.1394871056634,97.3765438010733
"5.068493",80.5105157613343,70.2967157516515,90.7243157710171,64.8898566302551,96.1311748924135
"5.071233",72.5031858727706,62.2879928087506,82.7183789367905,56.8803962489334,88.1259754966077
"5.073973",70.5612756532501,60.3446897248391,80.7778615816612,54.9363558271525,86.1861954793478
"5.076712",71.487138653601,61.2691600506673,81.7051172565347,55.8600889156215,87.1141883915805
"5.079452",69.1826105331939,58.9632394455282,79.4019816208595,53.5534311735924,84.8117898927953
"5.082192",75.9346097131146,65.7138463304302,86.155373095799,60.3033010220325,91.5659184041967
"5.084932",68.8935793694363,58.6714238813689,79.1157348575038,53.2601416368963,84.5270171019763
"5.087671",68.5973503994136,58.3738029955213,78.8208978033059,52.96178391532,84.2329168835072
"5.090411",81.1567702979502,70.9318311677139,91.3817094281865,65.5190753520888,96.7944652438115
"5.093151",76.6193734536254,66.3930427864485,86.8457041208023,60.9795503356639,92.2591965715869
"5.095890",78.1877053843088,67.9599833695174,88.4154273991002,62.5457543837964,93.8296563848211
"5.098630",86.0030909470733,75.7739777739163,96.2322041202303,70.3590123534413,101.647169540705
"5.101370",73.9092900392777,63.6787858969268,84.1397941816286,58.2630841418391,89.5554959367163
"5.104110",79.4409370470386,69.2090421245883,89.6728319694889,63.7926041349885,95.0892699590886
"5.106849",74.1101799852268,63.8768944716945,84.3434654987591,58.4597203476425,89.7606396228111
"5.109589",76.7627110177683,66.5280351020945,86.9973869334422,61.1101249436092,92.4152970919275
"5.112329",69.7953074583228,59.5592413293707,80.0313735872749,54.1405952364304,85.4500196802152
"5.115068",70.7710017345881,60.5335455811442,81.0084578880319,55.1141636536864,86.4278398154897
"5.117808",70.2515100600378,60.0126640708118,80.4903560492639,54.5925464087332,85.9104737113424
"5.120548",73.0074018232989,62.7671661869233,83.2476374596744,57.3463128900801,88.6684907565176
"5.123288",75.3867757793619,65.1451506843928,85.628400874331,59.7235618526006,91.0499897061233
"5.126027",69.1539642718665,58.9109499067831,79.39697863695,53.4886256398165,84.8193029039165
"5.128767",74.1365978283242,63.8921943815289,84.3810012751195,58.4691347791224,89.804060877526
"5.131507",76.3481879331584,66.1023955929771,86.5939802733396,60.6786007548243,92.0177751114924
"5.134247",78.7466157844476,68.4994347391297,88.9937968297655,63.0749047648838,94.4183268040114
"5.136986",74.4212257916179,64.1726562293362,84.6697953538996,58.7473912186098,90.0950603646259
"5.139726",78.8751745241838,68.6252166330346,89.1251324153331,63.1992166854,94.5511323629677
